source_folder,timestamp_s,event_type,customer_id,profile,priority,items,payment_method,lane_name,lane_type,effective_queue_length,queue_request_priority,patience_s,service_time_s,revenue_clp,profit_clp,reason
Week-01-Day-07,110.89480190203903,queue_request,1,deal_hunter,no_priority,8,card,REG-1,regular,0,no_priority,308.9766310999025,0,0,0,
Week-01-Day-07,110.89480190203903,service_start,1,deal_hunter,no_priority,8,card,REG-1,regular,1,no_priority,308.9766310999025,72.63937831943609,0,2057,
Week-01-Day-07,183.53418022147514,service_end,1,deal_hunter,no_priority,8,card,REG-1,regular,1,no_priority,308.9766310999025,72.63937831943609,0,2057,
Week-01-Day-07,223.589032431315,queue_request,2,express_basket,no_priority,1,card,REG-1,regular,0,no_priority,296.2500230637622,0,0,0,
Week-01-Day-07,223.589032431315,service_start,2,express_basket,no_priority,1,card,REG-1,regular,1,no_priority,296.2500230637622,19.0,0,0,
Week-01-Day-07,242.589032431315,service_end,2,express_basket,no_priority,1,card,REG-1,regular,1,no_priority,296.2500230637622,19.0,0,0,
Week-01-Day-07,418.6315787163585,queue_request,3,deal_hunter,no_priority,9,card,REG-1,regular,0,no_priority,110.56863470007671,0,0,0,
Week-01-Day-07,418.6315787163585,service_start,3,deal_hunter,no_priority,9,card,REG-1,regular,1,no_priority,110.56863470007671,15.99240380295668,0,2214,
Week-01-Day-07,434.6239825193152,service_end,3,deal_hunter,no_priority,9,card,REG-1,regular,1,no_priority,110.56863470007671,15.99240380295668,0,2214,
Week-01-Day-07,457.180782611631,queue_request,4,express_basket,no_priority,6,card,REG-1,regular,0,no_priority,214.3235725396909,0,0,0,
Week-01-Day-07,466.94169147975845,queue_request,5,weekly_planner,no_priority,63,cash,REG-2,regular,0,no_priority,319.3053871423221,0,0,0,
Week-01-Day-07,457.180782611631,service_start,4,express_basket,no_priority,6,card,REG-1,regular,1,no_priority,214.3235725396909,30.05412452574699,0,1660,
Week-01-Day-07,487.234907137378,service_end,4,express_basket,no_priority,6,card,REG-1,regular,1,no_priority,214.3235725396909,30.05412452574699,0,1660,
Week-01-Day-07,518.5163289037118,queue_request,6,deal_hunter,no_priority,3,card,REG-1,regular,0,no_priority,174.15287926875686,0,0,0,
Week-01-Day-07,548.3533672615631,queue_request,7,express_basket,no_priority,12,card,REG-3,regular,0,no_priority,46.96039620302388,0,0,0,
Week-01-Day-07,518.5163289037118,service_start,6,deal_hunter,no_priority,3,card,REG-1,regular,1,no_priority,174.15287926875686,32.85013253613986,0,409,
Week-01-Day-07,551.3664614398517,service_end,6,deal_hunter,no_priority,3,card,REG-1,regular,1,no_priority,174.15287926875686,32.85013253613986,0,409,
Week-01-Day-07,582.0437880256577,queue_request,8,express_basket,no_priority,7,card,REG-1,regular,0,no_priority,169.840764509182,0,0,0,
Week-01-Day-07,603.1617265455279,queue_request,9,deal_hunter,no_priority,19,card,REG-4,regular,0,no_priority,67.08168772959526,0,0,0,
Week-01-Day-07,582.0437880256577,service_start,8,express_basket,no_priority,7,card,REG-1,regular,1,no_priority,169.840764509182,52.756808401478075,0,1699,
Week-01-Day-07,634.8005964271358,service_end,8,express_basket,no_priority,7,card,REG-1,regular,1,no_priority,169.840764509182,52.756808401478075,0,1699,
Week-01-Day-07,548.3533672615631,service_start,7,express_basket,no_priority,12,card,REG-3,regular,1,no_priority,46.96039620302388,90.20557725289,0,3286,
Week-01-Day-07,638.5589445144531,service_end,7,express_basket,no_priority,12,card,REG-3,regular,1,no_priority,46.96039620302388,90.20557725289,0,3286,
Week-01-Day-07,664.3996646780943,queue_request,10,weekly_planner,no_priority,43,card,REG-1,regular,0,no_priority,284.3035688333464,0,0,0,
Week-01-Day-07,683.0554360193091,queue_request,11,regular,senior,7,card,REG-3,regular,0,senior,85.0137659984274,0,0,0,
Week-01-Day-07,603.1617265455279,service_start,9,deal_hunter,no_priority,19,card,REG-4,regular,1,no_priority,67.08168772959526,118.69795462826424,0,3955,
Week-01-Day-07,721.8596811737922,service_end,9,deal_hunter,no_priority,19,card,REG-4,regular,1,no_priority,67.08168772959526,118.69795462826424,0,3955,
Week-01-Day-07,683.0554360193091,service_start,11,regular,senior,7,card,REG-3,regular,1,senior,85.0137659984274,56.06807550127555,0,2343,
Week-01-Day-07,739.1235115205847,service_end,11,regular,senior,7,card,REG-3,regular,1,senior,85.0137659984274,56.06807550127555,0,2343,
Week-01-Day-07,466.94169147975845,service_start,5,weekly_planner,no_priority,63,cash,REG-2,regular,1,no_priority,319.3053871423221,317.9949178034371,0,19707,
Week-01-Day-07,784.9366092831956,service_end,5,weekly_planner,no_priority,63,cash,REG-2,regular,1,no_priority,319.3053871423221,317.9949178034371,0,19707,
Week-01-Day-07,796.1165309632088,queue_request,12,regular,no_priority,33,cash,REG-2,regular,0,no_priority,1193.8077043236724,0,0,0,
