source_folder,customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason,effective_queue_length
Week-01-Day-03,1795,express_basket,no_priority,3,card,20166.306649147664,20166.306649147664,20214.022627276598,0.0,47.715978128935596,47.715978128933784,13,0,,,3,1212,,EXP-2,express,no_priority,410.431741183346,served,,,0
Week-01-Day-03,1756,deal_hunter,no_priority,39,card,20002.419282527735,20031.566775015195,20224.208913285926,29.147492487460113,192.6421382707298,221.78963075819047,13,0,,,39,6747,,REG-3,regular,no_priority,303.1755009499549,served,,,1
Week-01-Day-03,1785,express_basket,no_priority,13,card,20135.186369785763,20135.186369785763,20241.828018852633,0.0,106.6416490668718,106.64164906687074,13,0,,,13,3908,,REG-10,regular,no_priority,961.4783980755146,served,,,0
Week-01-Day-03,1782,deal_hunter,no_priority,13,card,20119.62983522583,20119.62983522583,20246.071652289425,0.0,126.4418170635933,126.4418170635945,13,0,,,13,1309,,SCO-5,sco,no_priority,382.2181050152079,served,,,0
Week-01-Day-03,1772,regular,no_priority,43,card,20065.579955333676,20065.579955333676,20248.556518066256,0.0,182.97656273258127,182.97656273257962,13,0,,,43,8723,,PRI-1,priority,no_priority,471.70152589250546,served,,,0
Week-01-Day-03,1802,deal_hunter,no_priority,16,card,20218.778727206598,,,31.359992474397586,,31.359992474397586,13,0,,,16,0,,REG-1,regular,no_priority,31.359992474397306,abandon,,patience_timeout,2
Week-01-Day-03,1763,deal_hunter,no_priority,18,card,20039.604508243006,20134.886267949772,20256.79740819321,95.28175970676602,121.91114024343914,217.19289995020517,13,0,,,18,4044,,REG-7,regular,no_priority,228.0323212011162,served,,,1
Week-01-Day-03,1808,family_cart,no_priority,46,card,20245.8605741269,,,25.754618454699084,,25.754618454699084,13,0,,,46,0,,REG-13,regular,no_priority,25.754618454699447,abandon,,patience_timeout,2
Week-01-Day-03,1810,self_checkout_fan,no_priority,3,card,20257.930241869442,20257.930241869442,20273.1150807377,0.0,15.184838868257968,15.184838868259249,13,0,,,3,232,,SCO-4,sco,no_priority,669.4944769682493,served,,,0
Week-01-Day-03,1714,deal_hunter,no_priority,19,card,19754.590596945694,20187.550213637394,20276.29780912066,432.9596166916999,88.7475954832671,521.7072121749661,13,0,,,19,2210,,REG-13,regular,no_priority,1022.1574252062072,served,,,1
Week-01-Day-03,1803,express_basket,no_priority,8,card,20221.285583039993,20221.285583039993,20276.64401418804,0.0,55.358431148049405,55.35843114804811,13,0,,,8,633,,EXP-1,express,no_priority,45.478431256940915,served,,,0
Week-01-Day-03,1805,express_basket,no_priority,6,card,20225.43695788052,20225.43695788052,20280.944341946804,0.0,55.507384066283564,55.50738406628443,13,0,,,6,1165,,EXP-2,express,no_priority,6.354778572836334,served,,,0
Week-01-Day-03,1794,deal_hunter,no_priority,13,cash,20157.52309671553,20201.542051755576,20285.42152725366,44.01895504004642,83.87947549808399,127.89843053813092,13,0,,,13,3242,,REG-11,regular,no_priority,389.6835957350325,served,,,1
Week-01-Day-03,1776,deal_hunter,no_priority,21,card,20074.25200157574,20203.69333593066,20287.780180214104,129.4413343549204,84.08684428344188,213.5281786383639,13,0,,,21,4556,,REG-1,regular,no_priority,188.31800262839076,served,,,1
Week-01-Day-03,1788,deal_hunter,no_priority,19,cash,20148.987106175424,20176.535389604192,20291.41644191394,27.548283428768627,114.88105230974737,142.4293357385177,13,0,,,19,2285,,REG-12,regular,no_priority,436.9393006322178,served,,,1
Week-01-Day-03,1704,family_cart,no_priority,74,cash,19700.907930740716,19927.473833023134,20298.651114055592,226.5659022824184,371.17728103245884,597.7431833148767,13,0,,,74,16369,,REG-9,regular,no_priority,526.7124445476942,served,,,1
Week-01-Day-03,1806,express_basket,no_priority,1,card,20243.80198835172,20243.80198835172,20300.056287673833,0.0,56.25429932211379,56.25429932211409,13,0,,,1,700,,EXP-3,express,no_priority,511.430632720166,served,,,0
Week-01-Day-03,1766,weekly_planner,no_priority,53,card,20045.933012594876,20075.408899644706,20308.134558609814,29.475887049829907,232.72565896510903,262.2015460149378,13,0,,,53,8644,,PRI-2,priority,no_priority,1942.8989172650054,served,,,1
Week-01-Day-03,1792,deal_hunter,no_priority,26,card,20155.45049510964,,,153.75247692824632,,153.75247692824632,13,0,,,26,0,,REG-4,regular,no_priority,153.75247692824547,abandon,,patience_timeout,2
Week-01-Day-03,1801,deal_hunter,no_priority,13,card,20201.982501345898,20201.982501345898,20312.624740934025,0.0,110.64223958812805,110.64223958812727,13,0,,,13,1578,,SCO-2,sco,no_priority,716.1140321997854,served,,,0
Week-01-Day-03,1812,express_basket,no_priority,7,card,20273.05690591155,20273.1150807377,20314.365226229354,0.05817482615020708,41.2501454916512,41.30832031780301,13,0,,,7,1770,,SCO-4,sco,no_priority,42.145871554262584,served,,,0
Week-01-Day-03,1789,self_checkout_fan,no_priority,20,card,20150.756108572736,20196.679228668647,20331.12421746144,45.923120095911145,134.4449887927934,180.36810888870605,13,0,,,20,3887,,REG-8,regular,no_priority,396.784058839956,served,,,1
Week-01-Day-03,1790,deal_hunter,no_priority,12,cash,20151.941417509624,20256.79740819321,20331.653624383078,104.85599068358715,74.85621618986531,179.7122068734534,13,0,,,12,1185,,REG-7,regular,no_priority,262.3121283524412,served,,,1
Week-01-Day-03,1781,regular,no_priority,11,card,20117.533753145057,20117.533753145057,20335.286804288404,0.0,217.75305114334546,217.75305114334697,13,0,,,11,1663,,SCO-1,sco,no_priority,329.3943831609331,served,,,0
Week-01-Day-03,1811,deal_hunter,no_priority,11,card,20270.94935196008,20270.94935196008,20344.546643193822,0.0,73.59729123374106,73.597291233742,13,0,,,11,2102,,SCO-5,sco,no_priority,836.2318800478567,served,,,0
Week-01-Day-03,1807,deal_hunter,no_priority,6,card,20245.314683122328,20245.314683122328,20346.85006983564,0.0,101.53538671331349,101.53538671331262,13,0,,,6,1055,,SCO-3,sco,no_priority,604.3243562202697,served,,,0
Week-01-Day-03,1777,weekly_planner,no_priority,54,card,20087.045508250143,20087.045508250143,20355.037759626557,0.0,267.9922513764142,267.99225137641406,13,0,,,54,13543,,REG-5,regular,no_priority,1148.2057091843737,served,,,0
Week-01-Day-03,1819,express_basket,no_priority,7,card,20327.1185649747,20327.1185649747,20358.07966910067,0.0,30.961104125970387,30.96110412597045,13,0,,,7,951,,EXP-2,express,no_priority,123.88200767159799,served,,,0
Week-01-Day-03,1793,regular,no_priority,19,card,20156.716171178523,20224.208913285926,20358.68855903459,67.49274210740259,134.47964574866265,201.97238785606532,13,0,,,19,5690,,REG-3,regular,no_priority,79.60243869511638,served,,,1
