source_folder,customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason,effective_queue_length
Week-01-Day-02,2,express_basket,no_priority,16,card,61.057076375673205,61.057076375673205,141.83053494043776,0.0,80.77345856476457,80.77345856476455,8,0,,,16,5738,,REG-2,regular,no_priority,239.53821819567392,served,,,0
Week-01-Day-02,3,regular,no_priority,9,card,143.28338824163075,143.28338824163075,250.91987062573975,0.0,107.63648238410899,107.636482384109,8,0,,,9,2098,,REG-2,regular,no_priority,489.4220593294896,served,,,0
Week-01-Day-02,4,express_basket,no_priority,9,card,214.07317571788008,214.07317571788008,289.5598314824693,0.0,75.48665576458922,75.48665576458922,8,0,,,9,3284,,REG-3,regular,no_priority,71.29276234021275,served,,,0
Week-01-Day-02,9,express_basket,no_priority,6,card,312.65516569242027,312.65516569242027,334.02231736477415,0.0,21.36715167235386,21.367151672353884,8,0,,,6,2005,,REG-6,regular,no_priority,535.0472296261162,served,,,0
Week-01-Day-02,8,express_basket,no_priority,8,card,306.41094797756523,306.41094797756523,377.7970021668993,0.0,71.38605418933405,71.38605418933406,8,0,,,8,3027,,REG-5,regular,no_priority,32.38373591592498,served,,,0
Week-01-Day-02,5,regular,no_priority,37,card,230.37971812287287,230.37971812287287,394.24349517933706,0.0,163.86377705646422,163.8637770564642,8,0,,,37,10526,,REG-4,regular,no_priority,413.1117709296027,served,,,0
Week-01-Day-02,6,deal_hunter,no_priority,41,card,255.81629795175832,255.81629795175832,402.7660143960553,0.0,146.94971644429702,146.949716444297,8,0,,,41,9756,,REG-2,regular,no_priority,364.8599246706067,served,,,0
Week-01-Day-02,11,family_cart,no_priority,71,card,350.07174150368155,350.07174150368155,508.0803552992546,0.0,158.00861379557307,158.00861379557307,8,0,,,71,14973,,REG-6,regular,no_priority,1338.2227905500336,served,,,0
Week-01-Day-02,1,weekly_planner,no_priority,43,card,57.59142611035713,57.59142611035713,521.2195997087605,0.0,463.62817359840335,463.62817359840335,8,0,,,43,11715,,REG-1,regular,no_priority,177.59746068363006,served,,,0
Week-01-Day-02,10,family_cart,no_priority,98,card,333.6543567947447,333.6543567947447,524.7872650718868,0.0,191.13290827714218,191.13290827714218,8,0,,,98,29516,,REG-7,regular,no_priority,278.18807292334185,served,,,0
Week-01-Day-02,12,regular,no_priority,33,cash,385.5322665994536,385.5322665994536,540.6759139118607,0.0,155.1436473124071,155.1436473124071,8,0,,,33,10825,,REG-5,regular,no_priority,1182.0802160361557,served,,,0
Week-01-Day-02,14,family_cart,no_priority,31,cash,507.6568294506542,507.6568294506542,599.7534664494726,0.0,92.09663699881841,92.09663699881844,8,0,,,31,12080,,REG-4,regular,no_priority,463.97509681151394,served,,,0
Week-01-Day-02,15,express_basket,no_priority,1,card,589.1404007062338,589.1404007062338,653.3211378140303,0.0,64.18073710779656,64.18073710779652,8,0,,,1,56,,REG-1,regular,no_priority,241.99921089775842,served,,,0
Week-01-Day-02,16,express_basket,no_priority,7,card,652.8856601158877,652.8856601158877,750.8967804075031,0.0,98.01112029161543,98.01112029161538,8,0,,,7,2783,,REG-4,regular,no_priority,57.05775245585481,served,,,0
Week-01-Day-02,17,family_cart,senior,72,cash,672.9326985245425,672.9326985245425,759.0287032764412,0.0,86.09600475189868,86.0960047518987,8,0,,,72,26570,,REG-1,regular,senior,2378.8947348902198,served,,,0
Week-01-Day-02,7,weekly_planner,no_priority,138,card,293.31120094180733,293.31120094180733,810.9173870702484,0.0,517.6061861284411,517.6061861284411,8,0,,,138,35647,,REG-3,regular,no_priority,909.620194653434,served,,,0
Week-01-Day-02,13,family_cart,no_priority,102,card,478.75131448889806,478.75131448889806,860.7187667661879,0.0,381.9674522772898,381.9674522772898,8,0,,,102,33085,,REG-2,regular,no_priority,513.993828938743,served,,,0
Week-01-Day-02,19,deal_hunter,no_priority,5,cash,957.2774049283507,957.2774049283507,992.2774049283507,0.0,35.0,35.0,8,0,,,5,1168,,REG-2,regular,no_priority,207.8063624274023,served,,,0
Week-01-Day-02,20,regular,no_priority,43,card,980.6630904107187,980.6630904107187,1011.0596863358213,0.0,30.39659592510258,30.396595925102588,8,0,,,43,11648,,REG-3,regular,no_priority,581.3668765349648,served,,,0
Week-01-Day-02,21,express_basket,no_priority,3,card,1046.743765383737,1046.743765383737,1073.743765383737,0.0,27.0,27.0,8,0,,,3,1180,,REG-2,regular,no_priority,33.83495840662657,served,,,0
Week-01-Day-02,23,express_basket,no_priority,12,card,1068.578953045704,1068.578953045704,1135.3246704662538,0.0,66.74571742054957,66.74571742054968,8,0,,,12,3958,,REG-4,regular,no_priority,212.21541376470495,served,,,0
Week-01-Day-02,18,weekly_planner,no_priority,56,cash,925.1838764774911,925.1838764774911,1174.8786707642178,0.0,249.69479428672653,249.69479428672662,8,0,,,56,15275,,REG-1,regular,no_priority,366.19218179977446,served,,,0
Week-01-Day-02,22,weekly_planner,no_priority,50,cash,1061.5038263183342,1061.5038263183342,1213.986095562715,0.0,152.48226924438075,152.48226924438086,8,0,,,50,15464,,REG-3,regular,no_priority,2562.676365042974,served,,,0
Week-01-Day-02,25,express_basket,no_priority,8,card,1293.0480433727898,1293.0480433727898,1355.4985055782165,0.0,62.45046220542664,62.450462205426675,8,0,,,8,2677,,REG-1,regular,no_priority,112.28756948359333,served,,,0
Week-01-Day-02,26,self_checkout_fan,no_priority,13,card,1298.2565641390684,1298.2565641390684,1379.888724653026,0.0,81.63216051395766,81.63216051395761,8,0,,,13,3858,,REG-3,regular,no_priority,809.2673347330025,served,,,0
Week-01-Day-02,27,express_basket,no_priority,8,card,1305.9969150437755,1305.9969150437755,1382.2330952501102,0.0,76.23618020633458,76.23618020633467,8,0,,,8,4019,,REG-4,regular,no_priority,273.8473369012522,served,,,0
Week-01-Day-02,24,family_cart,senior,58,card,1116.6891636193468,1116.6891636193468,1414.6600415138182,0.0,297.97087789447147,297.9708778944714,8,0,,,58,17143,,REG-2,regular,senior,1210.669202873223,served,,,0
Week-01-Day-02,29,regular,senior,19,card,1625.2724635826307,1625.2724635826307,1734.1223405766534,0.0,108.84987699402276,108.84987699402268,8,0,,,19,9566,,REG-2,regular,senior,195.5325657337103,served,,,0
Week-01-Day-02,31,regular,senior,16,cash,1694.540305822924,1694.540305822924,1787.5544986836994,0.0,93.01419286077541,93.01419286077544,8,0,,,16,2554,,REG-4,regular,senior,1468.5716026712983,served,,,0
Week-01-Day-02,30,express_basket,no_priority,17,card,1689.9061956724436,1689.9061956724436,1828.295634088767,0.0,138.3894384163235,138.3894384163234,8,0,,,17,5101,,REG-3,regular,no_priority,78.87263146741618,served,,,0
Week-01-Day-02,32,deal_hunter,no_priority,28,card,1726.7665845839983,1726.7665845839983,1842.5538057070348,0.0,115.78722112303655,115.78722112303649,8,0,,,28,6865,,REG-5,regular,no_priority,279.7995451131881,served,,,0
Week-01-Day-02,35,express_basket,no_priority,10,card,1835.4772340653544,1835.4772340653544,1846.742186567617,0.0,11.264952502262528,11.264952502262531,8,0,,,10,3439,,REG-3,regular,no_priority,58.86452300506361,served,,,0
Week-01-Day-02,34,self_checkout_fan,no_priority,10,card,1807.179455370333,1807.179455370333,1871.895001787849,0.0,64.71554641751588,64.71554641751595,8,0,,,10,2539,,REG-4,regular,no_priority,395.5599918721685,served,,,0
Week-01-Day-02,28,weekly_planner,no_priority,84,cash,1589.1031067939512,1589.1031067939512,1972.2849614134948,0.0,383.18185461954374,383.1818546195436,8,0,,,84,21240,,REG-1,regular,no_priority,932.0353888206187,served,,,0
Week-01-Day-02,36,express_basket,no_priority,7,cash,1923.693215028994,1923.693215028994,1974.4376373862829,0.0,50.7444223572889,50.74442235728884,8,0,,,7,1954,,REG-3,regular,no_priority,206.17473971610113,served,,,0
Week-01-Day-02,33,family_cart,no_priority,60,card,1766.8092707469332,1766.8092707469332,2047.9574656963603,0.0,281.148194949427,281.1481949494271,8,0,,,60,17340,,REG-2,regular,no_priority,472.27299365756915,served,,,0
Week-01-Day-02,37,express_basket,no_priority,4,card,2044.903165467691,2044.903165467691,2059.2334970495835,0.0,14.330331581892537,14.330331581892551,8,0,,,4,871,,REG-1,regular,no_priority,58.11211123706999,served,,,0
