source_folder,timestamp_s,event_type,customer_id,profile,priority,items,payment_method,lane_name,lane_type,effective_queue_length,queue_request_priority,patience_s,service_time_s,revenue_clp,profit_clp,reason
Week-01-Day-02,106.1373514069819,queue_request,1,self_checkout_fan,no_priority,7,card,REG-1,regular,0,no_priority,1380.2349545596699,0,0,0,
Week-01-Day-02,144.70870576737434,queue_request,2,regular,no_priority,25,card,REG-2,regular,0,no_priority,272.9640383646119,0,0,0,
Week-01-Day-02,106.1373514069819,service_start,1,self_checkout_fan,no_priority,7,card,REG-1,regular,1,no_priority,1380.2349545596699,42.70143738181201,0,582,
Week-01-Day-02,148.83878878879392,service_end,1,self_checkout_fan,no_priority,7,card,REG-1,regular,1,no_priority,1380.2349545596699,42.70143738181201,0,582,
Week-01-Day-02,152.19998946947453,queue_request,3,express_basket,senior,4,card,REG-1,regular,0,senior,336.8418521268948,0,0,0,
Week-01-Day-02,152.19998946947453,service_start,3,express_basket,senior,4,card,REG-1,regular,1,senior,336.8418521268948,22.300460926055997,0,1347,
Week-01-Day-02,174.50045039553052,service_end,3,express_basket,senior,4,card,REG-1,regular,1,senior,336.8418521268948,22.300460926055997,0,1347,
Week-01-Day-02,215.80672547830181,queue_request,4,express_basket,no_priority,8,card,REG-1,regular,0,no_priority,756.9047874880331,0,0,0,
Week-01-Day-02,144.70870576737434,service_start,2,regular,no_priority,25,card,REG-2,regular,1,no_priority,272.9640383646119,75.5843448803284,0,4804,
Week-01-Day-02,220.29305064770273,service_end,2,regular,no_priority,25,card,REG-2,regular,1,no_priority,272.9640383646119,75.5843448803284,0,4804,
Week-01-Day-02,244.41624120260894,queue_request,5,weekly_planner,no_priority,49,card,REG-2,regular,0,no_priority,352.8093017816535,0,0,0,
Week-01-Day-02,246.5738116106113,queue_request,6,family_cart,no_priority,46,card,REG-3,regular,0,no_priority,353.9791267767811,0,0,0,
Week-01-Day-02,248.50256363116932,queue_request,7,express_basket,no_priority,22,cash,REG-4,regular,0,no_priority,298.98502600707945,0,0,0,
Week-01-Day-02,254.6418541359235,queue_request,8,family_cart,no_priority,73,card,REG-5,regular,0,no_priority,1098.341597204564,0,0,0,
Week-01-Day-02,215.80672547830181,service_start,4,express_basket,no_priority,8,card,REG-1,regular,1,no_priority,756.9047874880331,57.31258019406108,0,1308,
Week-01-Day-02,273.1193056723629,service_end,4,express_basket,no_priority,8,card,REG-1,regular,1,no_priority,756.9047874880331,57.31258019406108,0,1308,
Week-01-Day-02,246.5738116106113,service_start,6,family_cart,no_priority,46,card,REG-3,regular,1,no_priority,353.9791267767811,127.66245721187859,0,19533,
Week-01-Day-02,374.2362688224899,service_end,6,family_cart,no_priority,46,card,REG-3,regular,1,no_priority,353.9791267767811,127.66245721187859,0,19533,
Week-01-Day-02,248.50256363116932,service_start,7,express_basket,no_priority,22,cash,REG-4,regular,1,no_priority,298.98502600707945,145.08602065848018,0,7310,
Week-01-Day-02,393.5885842896495,service_end,7,express_basket,no_priority,22,cash,REG-4,regular,1,no_priority,298.98502600707945,145.08602065848018,0,7310,
Week-01-Day-02,244.41624120260894,service_start,5,weekly_planner,no_priority,49,card,REG-2,regular,1,no_priority,352.8093017816535,159.83698738029463,0,11648,
Week-01-Day-02,404.2532285829036,service_end,5,weekly_planner,no_priority,49,card,REG-2,regular,1,no_priority,352.8093017816535,159.83698738029463,0,11648,
Week-01-Day-02,254.6418541359235,service_start,8,family_cart,no_priority,73,card,REG-5,regular,1,no_priority,1098.341597204564,240.34029004372235,0,21393,
Week-01-Day-02,494.98214417964584,service_end,8,family_cart,no_priority,73,card,REG-5,regular,1,no_priority,1098.341597204564,240.34029004372235,0,21393,
Week-01-Day-02,499.3674842893597,queue_request,9,family_cart,no_priority,120,cash,REG-1,regular,0,no_priority,92.32342965658887,0,0,0,
Week-01-Day-02,590.0796024991068,queue_request,10,deal_hunter,no_priority,32,card,REG-2,regular,0,no_priority,443.68702033258825,0,0,0,
Week-01-Day-02,634.7409446314268,queue_request,11,weekly_planner,no_priority,81,card,REG-3,regular,0,no_priority,167.12905674927848,0,0,0,
Week-01-Day-02,639.298517180443,queue_request,12,weekly_planner,no_priority,63,cash,REG-4,regular,0,no_priority,237.1785037499417,0,0,0,
Week-01-Day-02,645.9322666942135,queue_request,13,express_basket,no_priority,2,cash,REG-5,regular,0,no_priority,208.1309118554486,0,0,0,
Week-01-Day-02,645.9322666942135,service_start,13,express_basket,no_priority,2,cash,REG-5,regular,1,no_priority,208.1309118554486,39.39614796485308,0,0,
Week-01-Day-02,685.3284146590665,service_end,13,express_basket,no_priority,2,cash,REG-5,regular,1,no_priority,208.1309118554486,39.39614796485308,0,0,
Week-01-Day-02,729.7322593285462,queue_request,14,deal_hunter,no_priority,5,card,REG-5,regular,0,no_priority,438.47610783502716,0,0,0,
Week-01-Day-02,730.3355779538142,queue_request,15,express_basket,no_priority,13,card,REG-6,regular,0,no_priority,306.1252699036064,0,0,0,
Week-01-Day-02,590.0796024991068,service_start,10,deal_hunter,no_priority,32,card,REG-2,regular,1,no_priority,443.68702033258825,176.4001291298024,0,7953,
Week-01-Day-02,766.4797316289092,service_end,10,deal_hunter,no_priority,32,card,REG-2,regular,1,no_priority,443.68702033258825,176.4001291298024,0,7953,
Week-01-Day-02,729.7322593285462,service_start,14,deal_hunter,no_priority,5,card,REG-5,regular,1,no_priority,438.47610783502716,47.15265802666157,0,1885,
Week-01-Day-02,776.8849173552078,service_end,14,deal_hunter,no_priority,5,card,REG-5,regular,1,no_priority,438.47610783502716,47.15265802666157,0,1885,
Week-01-Day-02,806.9453783133649,queue_request,16,regular,no_priority,39,card,REG-2,regular,0,no_priority,1423.328640750093,0,0,0,
Week-01-Day-02,730.3355779538142,service_start,15,express_basket,no_priority,13,card,REG-6,regular,1,no_priority,306.1252699036064,117.99149402414116,0,2891,
Week-01-Day-02,848.3270719779554,service_end,15,express_basket,no_priority,13,card,REG-6,regular,1,no_priority,306.1252699036064,117.99149402414116,0,2891,
Week-01-Day-02,861.034562210094,queue_request,17,weekly_planner,no_priority,23,cash,REG-5,regular,0,no_priority,254.0189021955666,0,0,0,
Week-01-Day-02,639.298517180443,service_start,12,weekly_planner,no_priority,63,cash,REG-4,regular,1,no_priority,237.1785037499417,250.28397040036782,0,16457,
Week-01-Day-02,889.5824875808108,service_end,12,weekly_planner,no_priority,63,cash,REG-4,regular,1,no_priority,237.1785037499417,250.28397040036782,0,16457,
Week-01-Day-02,861.034562210094,service_start,17,weekly_planner,no_priority,23,cash,REG-5,regular,1,no_priority,254.0189021955666,53.141206085582255,0,12402,
Week-01-Day-02,914.1757682956762,service_end,17,weekly_planner,no_priority,23,cash,REG-5,regular,1,no_priority,254.0189021955666,53.141206085582255,0,12402,
Week-01-Day-02,926.3635532703447,queue_request,18,weekly_planner,no_priority,40,card,REG-4,regular,0,no_priority,881.5142152835715,0,0,0,
Week-01-Day-02,968.6441316786295,queue_request,19,weekly_planner,senior,30,card,REG-5,regular,0,senior,135.9119434142171,0,0,0,
Week-01-Day-02,806.9453783133649,service_start,16,regular,no_priority,39,card,REG-2,regular,1,no_priority,1423.328640750093,174.73082394986895,0,11286,
Week-01-Day-02,981.6762022632339,service_end,16,regular,no_priority,39,card,REG-2,regular,1,no_priority,1423.328640750093,174.73082394986895,0,11286,
Week-01-Day-02,1018.9166398242851,queue_request,20,family_cart,senior,55,card,REG-2,regular,0,senior,1834.372338359392,0,0,0,
Week-01-Day-02,926.3635532703447,service_start,18,weekly_planner,no_priority,40,card,REG-4,regular,1,no_priority,881.5142152835715,106.4377526763121,0,11588,
Week-01-Day-02,1032.8013059466568,service_end,18,weekly_planner,no_priority,40,card,REG-4,regular,1,no_priority,881.5142152835715,106.4377526763121,0,11588,
Week-01-Day-02,1034.6240393387561,queue_request,21,deal_hunter,no_priority,2,card,REG-4,regular,0,no_priority,231.43702832574274,0,0,0,
Week-01-Day-02,499.3674842893597,service_start,9,family_cart,no_priority,120,cash,REG-1,regular,1,no_priority,92.32342965658887,541.4465479234594,0,31885,
Week-01-Day-02,1040.8140322128193,service_end,9,family_cart,no_priority,120,cash,REG-1,regular,1,no_priority,92.32342965658887,541.4465479234594,0,31885,
Week-01-Day-02,1034.6240393387561,service_start,21,deal_hunter,no_priority,2,card,REG-4,regular,1,no_priority,231.43702832574274,17.031324348146235,0,0,
Week-01-Day-02,1051.6553636869023,service_end,21,deal_hunter,no_priority,2,card,REG-4,regular,1,no_priority,231.43702832574274,17.031324348146235,0,0,
Week-01-Day-02,968.6441316786295,service_start,19,weekly_planner,senior,30,card,REG-5,regular,1,senior,135.9119434142171,111.47254751304493,0,9670,
Week-01-Day-02,1080.1166791916744,service_end,19,weekly_planner,senior,30,card,REG-5,regular,1,senior,135.9119434142171,111.47254751304493,0,9670,
Week-01-Day-02,634.7409446314268,service_start,11,weekly_planner,no_priority,81,card,REG-3,regular,1,no_priority,167.12905674927848,445.79745808939674,0,24359,
Week-01-Day-02,1080.5384027208236,service_end,11,weekly_planner,no_priority,81,card,REG-3,regular,1,no_priority,167.12905674927848,445.79745808939674,0,24359,
Week-01-Day-02,1228.2001724365218,queue_request,22,deal_hunter,no_priority,28,card,REG-1,regular,0,no_priority,289.1056255897616,0,0,0,
Week-01-Day-02,1261.5342845486593,queue_request,23,family_cart,no_priority,62,card,REG-3,regular,0,no_priority,558.046160265126,0,0,0,
Week-01-Day-02,1262.2167210577354,queue_request,24,regular,no_priority,39,cash,REG-4,regular,0,no_priority,413.059355725517,0,0,0,
Week-01-Day-02,1018.9166398242851,service_start,20,family_cart,senior,55,card,REG-2,regular,1,senior,1834.372338359392,245.99796337957565,0,12457,
Week-01-Day-02,1264.9146032038607,service_end,20,family_cart,senior,55,card,REG-2,regular,1,senior,1834.372338359392,245.99796337957565,0,12457,
Week-01-Day-02,1338.2968990008776,queue_request,25,regular,no_priority,60,card,REG-2,regular,0,no_priority,593.8024098794015,0,0,0,
Week-01-Day-02,1261.5342845486593,service_start,23,family_cart,no_priority,62,card,REG-3,regular,1,no_priority,558.046160265126,104.95849682105197,0,15458,
Week-01-Day-02,1366.4927813697113,service_end,23,family_cart,no_priority,62,card,REG-3,regular,1,no_priority,558.046160265126,104.95849682105197,0,15458,
Week-01-Day-02,1372.6406709058465,queue_request,26,family_cart,pregnant,68,card,REG-3,regular,0,pregnant,42.477749764173105,0,0,0,
Week-01-Day-02,1262.2167210577354,service_start,24,regular,no_priority,39,cash,REG-4,regular,1,no_priority,413.059355725517,154.8613237208631,0,12533,
Week-01-Day-02,1417.0780447785985,service_end,24,regular,no_priority,39,cash,REG-4,regular,1,no_priority,413.059355725517,154.8613237208631,0,12533,
Week-01-Day-02,1228.2001724365218,service_start,22,deal_hunter,no_priority,28,card,REG-1,regular,1,no_priority,289.1056255897616,200.85335276710856,0,5552,
