scenario,2026,2027,2028,2029,2030
E1,0.9984225906956965,1.0128313376505296,1.0200963824744802,1.0250080255203378,1.0318465935575731
E2,1.0115293642121936,1.0201790849427468,1.0153845220679527,1.0133305372870622,1.0092585021752782
E3,1.0186168673763447,1.0415375059806102,1.0415154264474018,1.056958548947164,1.0705912052178574
E4,1.0054203275746825,1.0116383535177058,1.0030112319150781,1.0239456432444922,1.0415714987854394
E5,1.0101688700784506,1.0064755798902552,1.0051642379194317,1.0153190862072448,1.0283733310686376
E6,0.9935436643701493,0.9831674440509182,0.9873756671777059,1.0049498147869276,1.0065852205779773
E7,1.0089596428378254,1.0155950821213464,1.010682026080418,1.0231542562931792,1.0340770051832948
E8,1.0143795114937526,1.0024035863717788,1.006720889127731,1.019795411365676,1.0072286362400986
E9,1.01013861491817,1.0161626787659181,1.033286372906434,1.0365694900197715,1.0252949222459893
E10,1.016185261785766,1.0093632888494315,1.0142856270734268,1.0159688405916858,1.0149078159741374
E 11,1.0032340662706485,0.9936935039563674,1.0025321911042513,1.0170669490697013,1.026732294123798
E 12,1.0166928152830024,1.0031746566643365,1.023053349760489,1.0345839667347265,1.043021136826891
E 13,0.9998330976732268,0.9896476036165873,0.9738454764583254,0.9879807317795453,0.9841929307370779
E 14,0.9973401117919354,0.988968667148674,0.9880241385760389,1.00629225226184,0.9966891777061895
E 15,1.000290281971425,1.0052084252606845,1.0079958309815893,1.0142283581973994,1.0243466053588164
E 16,0.9936425340493947,0.9972749551172141,1.0099354641374665,1.0195909752758379,1.0425957131292642
E 17,1.0188082159911607,1.0088660008073354,1.0054874662537616,1.0084321523666393,1.0312259444024037
E 18,1.0050876258798362,1.0021668949916185,1.022860993351623,1.0351777377921805,1.0338848074572453
E 19,0.9873175752823575,0.9965328604339575,1.0057196746746684,1.008229467490242,1.0107743669477134
E 20,1.0140218457733159,1.0165524749607742,1.0296970246387918,1.0363175390663664,1.050639742918246
E 21,1.0069606626786378,1.018834430275254,1.0229317447663042,1.0319568766685112,1.0457753309343238
