scenario,2026,2027,2028,2029,2030,score,segment
E1,0.9984225906956964,1.0128313376505296,1.0200963824744802,1.0250080255203378,1.0318465935575731,1.017576403133045,regular
E2,1.0115293642121936,1.0201790849427468,1.0153845220679527,1.0133305372870622,1.0092585021752782,1.0139295942927207,regular
E3,1.0186168673763447,1.0415375059806102,1.0415154264474018,1.056958548947164,1.0705912052178574,1.0456988302858978,optimista
E4,1.0054203275746825,1.0116383535177058,1.003011231915078,1.0239456432444922,1.0415714987854394,1.0170187196449916,regular
E5,1.0101688700784506,1.0064755798902552,1.0051642379194317,1.0153190862072448,1.0283733310686376,1.0130654902119574,regular
E6,0.9935436643701492,0.9831674440509182,0.987375667177706,1.0049498147869276,1.0065852205779773,0.9950808268080469,pesimista
E7,1.0089596428378254,1.0155950821213464,1.010682026080418,1.0231542562931792,1.0340770051832948,1.018452045044937,regular
E8,1.0143795114937526,1.0024035863717788,1.006720889127731,1.019795411365676,1.0072286362400986,1.0100867070810933,regular
E9,1.01013861491817,1.016162678765918,1.033286372906434,1.0365694900197715,1.0252949222459893,1.0242416421497902,regular
E10,1.016185261785766,1.0093632888494315,1.0142856270734268,1.0159688405916858,1.0149078159741374,1.014139108358227,regular
E 11,1.0032340662706485,0.9936935039563674,1.0025321911042513,1.0170669490697013,1.026732294123798,1.008583740111649,regular
E 12,1.0166928152830024,1.0031746566643365,1.023053349760489,1.0345839667347263,1.043021136826891,1.0240111565627183,regular
E 13,0.9998330976732268,0.9896476036165872,0.9738454764583254,0.9879807317795452,0.984192930737078,0.9870641320134755,pesimista
E 14,0.9973401117919354,0.988968667148674,0.9880241385760388,1.00629225226184,0.9966891777061896,0.995440827230067,pesimista
E 15,1.000290281971425,1.0052084252606843,1.0079958309815893,1.0142283581973994,1.0243466053588164,1.0103799453540045,regular
E 16,0.9936425340493948,0.997274955117214,1.0099354641374665,1.019590975275838,1.0425957131292642,1.012455922890251,regular
E 17,1.018808215991161,1.0088660008073354,1.0054874662537616,1.0084321523666393,1.0312259444024037,1.0145200168359017,regular
E 18,1.0050876258798362,1.0021668949916185,1.022860993351623,1.0351777377921805,1.033884807457245,1.0197401865836093,regular
E 19,0.9873175752823576,0.9965328604339576,1.0057196746746684,1.008229467490242,1.0107743669477134,1.0016772468783308,pesimista
E 20,1.014021845773316,1.0165524749607742,1.0296970246387918,1.0363175390663664,1.050639742918246,1.029358485412033,optimista
E 21,1.0069606626786378,1.018834430275254,1.0229317447663042,1.0319568766685112,1.0457753309343238,1.0252093145852788,regular
E 22,1.0229901939416717,1.0350830520810834,1.0467032112759875,1.054643180298146,1.0738267235508827,1.046506659388415,optimista
E 23,1.002911432882298,1.0073570748120872,1.0210961487611712,1.014951657625855,1.021205400811745,1.0134777632937735,regular
E 24,0.9947699136888082,1.0070905021201328,1.0222277114362048,1.044058150111746,1.0526272242866874,1.023923747570672,regular
E 25,1.0052611780849876,1.0283419901922346,1.016641181673633,1.0179461494075084,1.0356247927392055,1.0207097994004908,regular
E 26,1.0105522328712846,1.0098053084807368,1.0149138811426892,1.0330302426992255,1.048186220555727,1.0231879527347867,regular
E 27,1.0129379105323864,1.0136307250054697,1.0237597797654323,1.031265569135931,1.033556125616719,1.022993908694499,regular
E 28,1.0103683722279178,1.016336547831214,1.02895922804598,1.0432232862455748,1.0584705840648034,1.0313220510512273,optimista
E 29,1.010231019955112,1.021858802510215,1.0233961038545438,1.0326048992898225,1.0523110077390294,1.0279848844260862,optimista
E 30,1.009977935790726,1.0182263999614185,1.0103812090556583,0.9979063564760132,1.0040924085637912,1.0080939177926664,regular
E 31,1.0127240700527935,1.022617917744699,1.0077043955896157,1.0180470891041995,1.0284410391630323,1.0178809573958,regular
E 32,1.0111114866137754,1.025279650449843,1.0198816470565597,1.019568051186488,1.0298003693179434,1.0211089527691437,regular
E 33,1.0091188653095875,1.019340253190378,1.0337755029140043,1.041757478160771,1.0561637873139145,1.0318988469975967,optimista
E 34,0.9826627964943172,0.9690105480043628,0.9845432292064348,0.9736531046055944,0.9876556084240228,0.9794798794666953,pesimista
E 35,0.9993419053936892,1.0207018644885582,1.0259465145750897,1.0312416855043605,1.046603756316157,1.0246512998700665,regular
E 36,1.0078778216977884,1.019211022835233,1.0301590070264124,1.0353985428778385,1.0488044808347112,1.0281954309975128,optimista
E 37,0.9974787253918244,1.010548842912916,1.0072256656403318,1.0158014733381762,1.0316458284203214,1.0124776377177631,regular
E 38,0.9964460548826104,1.0058063252163325,1.0150397528744708,1.0287058311176704,1.010077416862772,1.011158911533762,regular
