source_folder,timestamp_s,event_type,customer_id,profile,priority,items,payment_method,lane_name,lane_type,effective_queue_length,queue_request_priority,patience_s,service_time_s,revenue_clp,profit_clp,reason
Week-01-Day-03,173.5480276865128,queue_request,1,weekly_planner,no_priority,61,cash,REG-1,regular,0,no_priority,965.5279825741976,0,0,0,
Week-01-Day-03,274.60919809732513,queue_request,2,express_basket,no_priority,15,card,REG-2,regular,0,no_priority,737.9619405430345,0,0,0,
Week-01-Day-03,318.4164371188308,queue_request,3,family_cart,no_priority,77,cash,REG-3,regular,0,no_priority,623.1245718323834,0,0,0,
Week-01-Day-03,274.60919809732513,service_start,2,express_basket,no_priority,15,card,REG-2,regular,1,no_priority,737.9619405430345,58.41168235612479,0,4497,
Week-01-Day-03,333.02088045344993,service_end,2,express_basket,no_priority,15,card,REG-2,regular,1,no_priority,737.9619405430345,58.41168235612479,0,4497,
Week-01-Day-03,336.9836162120482,queue_request,4,express_basket,no_priority,1,card,REG-2,regular,0,no_priority,693.0592902926217,0,0,0,
Week-01-Day-03,336.9836162120482,service_start,4,express_basket,no_priority,1,card,REG-2,regular,1,no_priority,693.0592902926217,79.20172468423051,0,1108,
Week-01-Day-03,416.1853408962787,service_end,4,express_basket,no_priority,1,card,REG-2,regular,1,no_priority,693.0592902926217,79.20172468423051,0,1108,
Week-01-Day-03,173.5480276865128,service_start,1,weekly_planner,no_priority,61,cash,REG-1,regular,1,no_priority,965.5279825741976,275.8273864517611,0,12766,
Week-01-Day-03,449.37541413827387,service_end,1,weekly_planner,no_priority,61,cash,REG-1,regular,1,no_priority,965.5279825741976,275.8273864517611,0,12766,
Week-01-Day-03,473.6412315948328,queue_request,5,family_cart,senior,58,card,REG-1,regular,0,senior,767.0253576104222,0,0,0,
Week-01-Day-03,543.1566729250117,queue_request,6,self_checkout_fan,no_priority,9,card,REG-2,regular,0,no_priority,663.5039237246455,0,0,0,
Week-01-Day-03,318.4164371188308,service_start,3,family_cart,no_priority,77,cash,REG-3,regular,1,no_priority,623.1245718323834,241.14083300886995,0,12893,
Week-01-Day-03,559.5572701277008,service_end,3,family_cart,no_priority,77,cash,REG-3,regular,1,no_priority,623.1245718323834,241.14083300886995,0,12893,
Week-01-Day-03,543.1566729250117,service_start,6,self_checkout_fan,no_priority,9,card,REG-2,regular,1,no_priority,663.5039237246455,24.730479789022816,0,2270,
Week-01-Day-03,567.8871527140345,service_end,6,self_checkout_fan,no_priority,9,card,REG-2,regular,1,no_priority,663.5039237246455,24.730479789022816,0,2270,
Week-01-Day-03,586.8027029474761,queue_request,7,family_cart,no_priority,95,card,REG-2,regular,0,no_priority,536.0601275422767,0,0,0,
Week-01-Day-03,604.3045678995477,queue_request,8,deal_hunter,senior,7,card,REG-3,regular,0,senior,286.0835880643749,0,0,0,
Week-01-Day-03,604.3045678995477,service_start,8,deal_hunter,senior,7,card,REG-3,regular,1,senior,286.0835880643749,58.7268448868791,0,1965,
Week-01-Day-03,663.0314127864268,service_end,8,deal_hunter,senior,7,card,REG-3,regular,1,senior,286.0835880643749,58.7268448868791,0,1965,
Week-01-Day-03,473.6412315948328,service_start,5,family_cart,senior,58,card,REG-1,regular,1,senior,767.0253576104222,258.6549245689785,0,13640,
Week-01-Day-03,732.2961561638112,service_end,5,family_cart,senior,58,card,REG-1,regular,1,senior,767.0253576104222,258.6549245689785,0,13640,
Week-01-Day-03,866.2831195830513,queue_request,9,express_basket,no_priority,11,card,REG-1,regular,0,no_priority,86.68945397074089,0,0,0,
Week-01-Day-03,866.2831195830513,service_start,9,express_basket,no_priority,11,card,REG-1,regular,1,no_priority,86.68945397074089,20.629751615460993,0,2934,
Week-01-Day-03,886.9128711985123,service_end,9,express_basket,no_priority,11,card,REG-1,regular,1,no_priority,86.68945397074089,20.629751615460993,0,2934,
Week-01-Day-03,586.8027029474761,service_start,7,family_cart,no_priority,95,card,REG-2,regular,1,no_priority,536.0601275422767,301.08988972325096,0,19524,
Week-01-Day-03,887.892592670727,service_end,7,family_cart,no_priority,95,card,REG-2,regular,1,no_priority,536.0601275422767,301.08988972325096,0,19524,
Week-01-Day-03,903.2381619901062,queue_request,10,express_basket,no_priority,8,cash,REG-1,regular,0,no_priority,782.4059020654872,0,0,0,
Week-01-Day-03,997.4568399523996,queue_request,11,deal_hunter,no_priority,14,card,REG-2,regular,0,no_priority,120.13448074933316,0,0,0,
Week-01-Day-03,903.2381619901062,service_start,10,express_basket,no_priority,8,cash,REG-1,regular,1,no_priority,782.4059020654872,95.26726936011876,0,1712,
Week-01-Day-03,998.505431350225,service_end,10,express_basket,no_priority,8,cash,REG-1,regular,1,no_priority,782.4059020654872,95.26726936011876,0,1712,
Week-01-Day-03,1034.4264888879807,queue_request,12,weekly_planner,no_priority,73,cash,REG-1,regular,0,no_priority,40.27326664368526,0,0,0,
Week-01-Day-03,997.4568399523996,service_start,11,deal_hunter,no_priority,14,card,REG-2,regular,1,no_priority,120.13448074933316,117.53750374245622,0,2472,
Week-01-Day-03,1114.9943436948558,service_end,11,deal_hunter,no_priority,14,card,REG-2,regular,1,no_priority,120.13448074933316,117.53750374245622,0,2472,
Week-01-Day-03,1125.6364772848356,queue_request,13,regular,no_priority,29,card,REG-2,regular,0,no_priority,118.07758026612998,0,0,0,
Week-01-Day-03,1125.6364772848356,service_start,13,regular,no_priority,29,card,REG-2,regular,1,no_priority,118.07758026612998,175.435605659488,0,7847,
Week-01-Day-03,1301.0720829443235,service_end,13,regular,no_priority,29,card,REG-2,regular,1,no_priority,118.07758026612998,175.435605659488,0,7847,
Week-01-Day-03,1347.7260417265534,queue_request,14,express_basket,no_priority,26,card,REG-2,regular,0,no_priority,71.91692048434197,0,0,0,
Week-01-Day-03,1034.4264888879807,service_start,12,weekly_planner,no_priority,73,cash,REG-1,regular,1,no_priority,40.27326664368526,361.1041248694332,0,16409,
Week-01-Day-03,1395.530613757414,service_end,12,weekly_planner,no_priority,73,cash,REG-1,regular,1,no_priority,40.27326664368526,361.1041248694332,0,16409,
Week-01-Day-03,1347.7260417265534,service_start,14,express_basket,no_priority,26,card,REG-2,regular,1,no_priority,71.91692048434197,86.57586761156728,0,6637,
Week-01-Day-03,1434.3019093381206,service_end,14,express_basket,no_priority,26,card,REG-2,regular,1,no_priority,71.91692048434197,86.57586761156728,0,6637,
Week-01-Day-03,1455.8070419593423,queue_request,15,weekly_planner,no_priority,49,cash,REG-1,regular,0,no_priority,12.999486208192268,0,0,0,
