source_folder,customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason,effective_queue_length
Week-01-Day-01,1,express_basket,no_priority,13,card,82.49883779962693,82.49883779962693,189.83993679688618,0.0,107.34109899725925,107.34109899725925,8,0,,,13,4654,,REG-1,regular,no_priority,248.9453621961201,served,,,0
Week-01-Day-01,4,express_basket,no_priority,8,card,228.01611878884796,228.01611878884796,291.0881380699113,0.0,63.072019281063305,63.07201928106332,8,0,,,8,3660,,REG-1,regular,no_priority,195.08596687878784,served,,,0
Week-01-Day-01,2,regular,no_priority,36,card,93.91750294122176,93.91750294122176,292.4901394033202,0.0,198.57263646209842,198.57263646209844,8,0,,,36,7999,,REG-2,regular,no_priority,165.74331354346572,served,,,0
Week-01-Day-01,5,self_checkout_fan,no_priority,5,card,294.9862158362557,294.9862158362557,321.77078574336326,0.0,26.784569907107553,26.78456990710754,8,0,,,5,706,,REG-1,regular,no_priority,17.93437722628886,served,,,0
Week-01-Day-01,3,family_cart,no_priority,86,card,107.28148627611881,107.28148627611881,411.85104151969136,0.0,304.56955524357255,304.56955524357255,8,0,,,86,23802,,REG-3,regular,no_priority,794.0465982345353,served,,,0
Week-01-Day-01,8,express_basket,no_priority,8,card,448.81241907842195,448.81241907842195,470.32411466094584,0.0,21.5116955825239,21.511695582523885,8,0,,,8,2965,,REG-3,regular,no_priority,361.0929364690944,served,,,0
Week-01-Day-01,9,express_basket,no_priority,1,card,469.4609421378518,469.4609421378518,500.3944610771545,0.0,30.933518939302683,30.9335189393027,8,0,,,1,0,,REG-4,regular,no_priority,360.9591011027497,served,,,0
Week-01-Day-01,7,express_basket,no_priority,7,card,444.2212766032826,444.2212766032826,506.431436642246,0.0,62.21016003896344,62.21016003896341,8,0,,,7,1983,,REG-2,regular,no_priority,289.4553304736903,served,,,0
Week-01-Day-01,11,deal_hunter,no_priority,17,cash,514.7966853109137,514.7966853109137,570.8119518925198,0.0,56.01526658160604,56.015266581606056,8,0,,,17,3301,,REG-2,regular,no_priority,161.82316010191246,served,,,0
Week-01-Day-01,6,regular,no_priority,65,card,346.12583177669876,346.12583177669876,625.4869430640888,0.0,279.36111128739003,279.36111128739003,8,0,,,65,16203,,REG-1,regular,no_priority,863.1741106889833,served,,,0
Week-01-Day-01,10,weekly_planner,no_priority,53,card,476.09303259921217,476.09303259921217,692.6420627235804,0.0,216.54903012436816,216.5490301243682,8,0,,,53,20062,,REG-3,regular,no_priority,1622.3036369271824,served,,,0
Week-01-Day-01,13,express_basket,no_priority,3,card,701.3859046158141,701.3859046158141,728.3859046158141,0.0,27.0,27.0,8,0,,,3,84,,REG-2,regular,no_priority,108.44343458337475,served,,,0
Week-01-Day-01,12,regular,no_priority,37,card,637.2999970872952,637.2999970872952,755.8235796935116,0.0,118.52358260621642,118.52358260621645,8,0,,,37,11704,,REG-1,regular,no_priority,1839.9426135880597,served,,,0
Week-01-Day-01,17,express_basket,no_priority,8,card,796.919670024352,796.919670024352,872.423853532843,0.0,75.50418350849111,75.50418350849111,8,0,,,8,2790,,REG-4,regular,no_priority,284.06394519768264,served,,,0
Week-01-Day-01,15,regular,no_priority,22,card,771.1024172364305,771.1024172364305,898.1356856946757,0.0,127.03326845824516,127.03326845824517,8,0,,,22,8617,,REG-1,regular,no_priority,299.8929148739296,served,,,0
Week-01-Day-01,18,regular,no_priority,27,card,856.0577183418136,856.0577183418136,968.7458524936243,0.0,112.6881341518107,112.68813415181069,8,0,,,27,10164,,REG-5,regular,no_priority,135.31405105230965,served,,,0
Week-01-Day-01,19,express_basket,no_priority,10,card,931.1913869375167,931.1913869375167,973.5725932263476,0.0,42.38120628883095,42.38120628883098,8,0,,,10,4272,,REG-1,regular,no_priority,86.1115508662005,served,,,0
Week-01-Day-01,14,weekly_planner,senior,41,cash,752.6551916224562,752.6551916224562,998.3729596743168,0.0,245.71776805186065,245.71776805186062,8,0,,,41,9688,,REG-2,regular,senior,701.8697258021174,served,,,0
Week-01-Day-01,16,family_cart,no_priority,90,cash,772.4511460321701,772.4511460321701,1019.3230322733168,0.0,246.87188624114674,246.87188624114674,8,0,,,90,36652,,REG-3,regular,no_priority,2542.277907383697,served,,,0
