source_folder,timestamp_s,event_type,customer_id,profile,priority,items,payment_method,lane_name,lane_type,effective_queue_length,queue_request_priority,patience_s,service_time_s,revenue_clp,profit_clp,reason
Week-01-Day-01,54.09878698865214,queue_request,1,self_checkout_fan,no_priority,8,card,REG-1,regular,0,no_priority,2516.0583859799945,0,0,0,
Week-01-Day-01,54.09878698865214,service_start,1,self_checkout_fan,no_priority,8,card,REG-1,regular,1,no_priority,2516.0583859799945,56.59415905988351,0,2745,
Week-01-Day-01,110.69294604853565,service_end,1,self_checkout_fan,no_priority,8,card,REG-1,regular,1,no_priority,2516.0583859799945,56.59415905988351,0,2745,
Week-01-Day-01,219.85102843351706,queue_request,2,express_basket,no_priority,9,cash,REG-1,regular,0,no_priority,1239.6997491256,0,0,0,
Week-01-Day-01,219.85102843351706,service_start,2,express_basket,no_priority,9,cash,REG-1,regular,1,no_priority,1239.6997491256,91.88940598799522,0,3640,
Week-01-Day-01,311.7404344215123,service_end,2,express_basket,no_priority,9,cash,REG-1,regular,1,no_priority,1239.6997491256,91.88940598799522,0,3640,
Week-01-Day-01,422.19275345652204,queue_request,3,express_basket,no_priority,10,card,REG-1,regular,0,no_priority,165.65371441394723,0,0,0,
Week-01-Day-01,459.2752120281548,queue_request,4,express_basket,no_priority,7,card,REG-2,regular,0,no_priority,362.0085127224943,0,0,0,
Week-01-Day-01,422.19275345652204,service_start,3,express_basket,no_priority,10,card,REG-1,regular,1,no_priority,165.65371441394723,52.2667436736708,0,1718,
Week-01-Day-01,474.45949713019286,service_end,3,express_basket,no_priority,10,card,REG-1,regular,1,no_priority,165.65371441394723,52.2667436736708,0,1718,
Week-01-Day-01,459.2752120281548,service_start,4,express_basket,no_priority,7,card,REG-2,regular,1,no_priority,362.0085127224943,68.90889942043346,0,2594,
Week-01-Day-01,528.1841114485883,service_end,4,express_basket,no_priority,7,card,REG-2,regular,1,no_priority,362.0085127224943,68.90889942043346,0,2594,
Week-01-Day-01,732.2237390977061,queue_request,5,self_checkout_fan,no_priority,14,card,REG-1,regular,0,no_priority,231.2594601589446,0,0,0,
Week-01-Day-01,732.2237390977061,service_start,5,self_checkout_fan,no_priority,14,card,REG-1,regular,1,no_priority,231.2594601589446,49.53931458062896,0,5195,
Week-01-Day-01,781.763053678335,service_end,5,self_checkout_fan,no_priority,14,card,REG-1,regular,1,no_priority,231.2594601589446,49.53931458062896,0,5195,
Week-01-Day-01,841.062825027846,queue_request,6,deal_hunter,no_priority,10,cash,REG-1,regular,0,no_priority,1575.6790267534054,0,0,0,
Week-01-Day-01,856.9849661140615,queue_request,7,weekly_planner,no_priority,29,card,REG-2,regular,0,no_priority,3102.2742933631566,0,0,0,
Week-01-Day-01,889.1066979849238,queue_request,8,regular,no_priority,50,cash,REG-3,regular,0,no_priority,2836.0646424442843,0,0,0,
Week-01-Day-01,925.9935863280734,queue_request,9,regular,senior,47,card,REG-4,regular,0,senior,235.85199507162915,0,0,0,
Week-01-Day-01,856.9849661140615,service_start,7,weekly_planner,no_priority,29,card,REG-2,regular,1,no_priority,3102.2742933631566,78.39425144969834,0,7990,
Week-01-Day-01,935.3792175637599,service_end,7,weekly_planner,no_priority,29,card,REG-2,regular,1,no_priority,3102.2742933631566,78.39425144969834,0,7990,
Week-01-Day-01,841.062825027846,service_start,6,deal_hunter,no_priority,10,cash,REG-1,regular,1,no_priority,1575.6790267534054,94.99002884283227,0,2048,
Week-01-Day-01,936.0528538706783,service_end,6,deal_hunter,no_priority,10,cash,REG-1,regular,1,no_priority,1575.6790267534054,94.99002884283227,0,2048,
Week-01-Day-01,973.6086421610125,queue_request,10,deal_hunter,no_priority,5,card,REG-1,regular,0,no_priority,528.9185411416428,0,0,0,
Week-01-Day-01,973.6086421610125,service_start,10,deal_hunter,no_priority,5,card,REG-1,regular,1,no_priority,528.9185411416428,93.28730822810105,0,1916,
Week-01-Day-01,1066.8959503891135,service_end,10,deal_hunter,no_priority,5,card,REG-1,regular,1,no_priority,528.9185411416428,93.28730822810105,0,1916,
Week-01-Day-01,1066.947107610922,queue_request,11,weekly_planner,no_priority,100,card,REG-1,regular,0,no_priority,290.15759928603023,0,0,0,
Week-01-Day-01,925.9935863280734,service_start,9,regular,senior,47,card,REG-4,regular,1,senior,235.85199507162915,168.5608062432821,0,13100,
Week-01-Day-01,1094.5543925713555,service_end,9,regular,senior,47,card,REG-4,regular,1,senior,235.85199507162915,168.5608062432821,0,13100,
