source_folder,timestamp_s,event_type,customer_id,profile,priority,items,payment_method,lane_name,lane_type,effective_queue_length,queue_request_priority,patience_s,service_time_s,revenue_clp,profit_clp,reason
Week-01-Day-03,45.35905947472929,queue_request,1,weekly_planner,no_priority,69,cash,REG-1,regular,0,no_priority,155.8305165809134,0,0,0,
Week-01-Day-03,63.213771776659996,queue_request,2,express_basket,senior,3,card,REG-2,regular,0,senior,714.2922673407107,0,0,0,
Week-01-Day-03,63.213771776659996,service_start,2,express_basket,senior,3,card,REG-2,regular,1,senior,714.2922673407107,51.93021989214211,0,0,
Week-01-Day-03,115.1439916688021,service_end,2,express_basket,senior,3,card,REG-2,regular,1,senior,714.2922673407107,51.93021989214211,0,0,
Week-01-Day-03,138.77858184625075,queue_request,3,regular,no_priority,51,card,REG-2,regular,0,no_priority,634.843878152556,0,0,0,
Week-01-Day-03,176.8705130206181,queue_request,4,express_basket,no_priority,9,card,REG-3,regular,0,no_priority,213.18437831256009,0,0,0,
Week-01-Day-03,197.52728100020977,queue_request,5,deal_hunter,no_priority,23,cash,REG-4,regular,0,no_priority,112.59137754363329,0,0,0,
Week-01-Day-03,211.2504776499518,queue_request,6,regular,no_priority,16,card,REG-5,regular,0,no_priority,859.2015465556127,0,0,0,
Week-01-Day-03,176.8705130206181,service_start,4,express_basket,no_priority,9,card,REG-3,regular,1,no_priority,213.18437831256009,65.74541641193893,0,2921,
Week-01-Day-03,242.61592943255704,service_end,4,express_basket,no_priority,9,card,REG-3,regular,1,no_priority,213.18437831256009,65.74541641193893,0,2921,
Week-01-Day-03,197.52728100020977,service_start,5,deal_hunter,no_priority,23,cash,REG-4,regular,1,no_priority,112.59137754363329,110.875391885239,0,3633,
Week-01-Day-03,308.40267288544874,service_end,5,deal_hunter,no_priority,23,cash,REG-4,regular,1,no_priority,112.59137754363329,110.875391885239,0,3633,
Week-01-Day-03,45.35905947472929,service_start,1,weekly_planner,no_priority,69,cash,REG-1,regular,1,no_priority,155.8305165809134,291.47930493036745,0,12622,
Week-01-Day-03,336.83836440509674,service_end,1,weekly_planner,no_priority,69,cash,REG-1,regular,1,no_priority,155.8305165809134,291.47930493036745,0,12622,
Week-01-Day-03,211.2504776499518,service_start,6,regular,no_priority,16,card,REG-5,regular,1,no_priority,859.2015465556127,146.57995854100986,0,2393,
Week-01-Day-03,357.8304361909617,service_end,6,regular,no_priority,16,card,REG-5,regular,1,no_priority,859.2015465556127,146.57995854100986,0,2393,
Week-01-Day-03,362.96911844987335,queue_request,7,regular,no_priority,43,card,REG-1,regular,0,no_priority,173.9781092037396,0,0,0,
Week-01-Day-03,407.1653512832927,queue_request,8,family_cart,no_priority,65,card,REG-3,regular,0,no_priority,11.406676731834548,0,0,0,
Week-01-Day-03,362.96911844987335,service_start,7,regular,no_priority,43,card,REG-1,regular,1,no_priority,173.9781092037396,202.666249739512,0,7257,
Week-01-Day-03,565.6353681893854,service_end,7,regular,no_priority,43,card,REG-1,regular,1,no_priority,173.9781092037396,202.666249739512,0,7257,
Week-01-Day-03,407.1653512832927,service_start,8,family_cart,no_priority,65,card,REG-3,regular,1,no_priority,11.406676731834548,245.5520255253665,0,13809,
Week-01-Day-03,652.7173768086592,service_end,8,family_cart,no_priority,65,card,REG-3,regular,1,no_priority,11.406676731834548,245.5520255253665,0,13809,
Week-01-Day-03,744.051736950827,queue_request,9,express_basket,no_priority,5,card,REG-1,regular,0,no_priority,144.34847919281998,0,0,0,
Week-01-Day-03,772.5798851586114,queue_request,10,self_checkout_fan,no_priority,11,card,REG-3,regular,0,no_priority,295.50847570195805,0,0,0,
Week-01-Day-03,744.051736950827,service_start,9,express_basket,no_priority,5,card,REG-1,regular,1,no_priority,144.34847919281998,71.31480750311368,0,1092,
Week-01-Day-03,815.3665444539407,service_end,9,express_basket,no_priority,5,card,REG-1,regular,1,no_priority,144.34847919281998,71.31480750311368,0,1092,
Week-01-Day-03,824.8390818040789,queue_request,11,deal_hunter,senior,9,card,REG-1,regular,0,senior,359.60810770488945,0,0,0,
Week-01-Day-03,859.381079535975,queue_request,12,deal_hunter,no_priority,4,card,REG-4,regular,0,no_priority,142.42421768106115,0,0,0,
Week-01-Day-03,824.8390818040789,service_start,11,deal_hunter,senior,9,card,REG-1,regular,1,senior,359.60810770488945,56.324574279950085,0,1309,
Week-01-Day-03,881.163656084029,service_end,11,deal_hunter,senior,9,card,REG-1,regular,1,senior,359.60810770488945,56.324574279950085,0,1309,
Week-01-Day-03,138.77858184625075,service_start,3,regular,no_priority,51,card,REG-2,regular,1,no_priority,634.843878152556,744.5788840492903,0,9072,
Week-01-Day-03,883.357465895541,service_end,3,regular,no_priority,51,card,REG-2,regular,1,no_priority,634.843878152556,744.5788840492903,0,9072,
Week-01-Day-03,887.0639038060108,queue_request,13,family_cart,no_priority,100,cash,REG-1,regular,0,no_priority,245.74983360549456,0,0,0,
Week-01-Day-03,897.207302241477,queue_request,14,self_checkout_fan,no_priority,8,card,REG-2,regular,0,no_priority,105.83654802192872,0,0,0,
Week-01-Day-03,859.381079535975,service_start,12,deal_hunter,no_priority,4,card,REG-4,regular,1,no_priority,142.42421768106115,42.74354786831773,0,986,
Week-01-Day-03,902.1246274042927,service_end,12,deal_hunter,no_priority,4,card,REG-4,regular,1,no_priority,142.42421768106115,42.74354786831773,0,986,
Week-01-Day-03,772.5798851586114,service_start,10,self_checkout_fan,no_priority,11,card,REG-3,regular,1,no_priority,295.50847570195805,158.9091210314442,0,3411,
Week-01-Day-03,931.4890061900556,service_end,10,self_checkout_fan,no_priority,11,card,REG-3,regular,1,no_priority,295.50847570195805,158.9091210314442,0,3411,
Week-01-Day-03,897.207302241477,service_start,14,self_checkout_fan,no_priority,8,card,REG-2,regular,1,no_priority,105.83654802192872,72.3226904101129,0,1690,
Week-01-Day-03,969.52999265159,service_end,14,self_checkout_fan,no_priority,8,card,REG-2,regular,1,no_priority,105.83654802192872,72.3226904101129,0,1690,
Week-01-Day-03,1070.1049332056464,queue_request,15,weekly_planner,no_priority,45,card,REG-2,regular,0,no_priority,844.2211420359471,0,0,0,
